Translation Label	English Text	Translator Notes
PERSPECTIVE.TEMPORARY_WARNING	This perspective is temporary; the configuration below does not reflect the current state of any bound prefs modules.
PERSPECTIVE.TITLE	Perspective Manager
SLIDER.CLOSE	Close detail panel
SLIDER.TITLE	SLIDER.TITLE
TABLE.ADD_FILTER	Add filter
TABLE.ADD_FILTER_FOR	TABLE.ADD_FILTER_FOR
TABLE.COLUMNS	columns
TABLE.COLUMN_OPTIONS	Column options
TABLE.FILTER_ACTIVE	Filter active
TABLE.FILTER_ACTIVE_ON	TABLE.FILTER_ACTIVE_ON
TABLE.GROUPS	groups
TABLE.HIDE_COLUMN	Hide Column
TABLE.LOADING	Loading
TABLE.NO_DATA	No data to display
TABLE.OF	of
TABLE.RESIZE_COLUMN	TABLE.RESIZE_COLUMN
TABLE.ROWS	rows
TABLE.SHOWING	Showing
TABLE.SHOW_ALL	Show All
TABLE.SHOW_MORE	Show More
TABLE.SORTED_ASC	Sorted ascending
TABLE.SORTED_DESC	Sorted descending
TABLE.SORT_ASC	Sort Ascending
TABLE.SORT_BY	TABLE.SORT_BY
TABLE.SORT_DESC	Sort Descending
TABLE.TOTAL	Total
TABLE.WAITING	Waiting for data…
TABLE_OPTS.CELL_PLACEHOLDER	Enter a display-format template…
TABLE_OPTS.CELL_TEMPLATE	Cell Template
TABLE_OPTS.CUSTOMIZE_CELL	Customize cell display
TABLE_OPTS.TITLE	Table Options
TEMPLATE_EDITOR.TAB_GROUPED	Grouped
TEMPLATE_EDITOR.TAB_PIVOT	Pivotted
TEMPLATE_EDITOR.TAB_PLAIN	Plain
TEMPLATE_EDITOR.TITLE	Template Editor
